age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y,weekday,is_weekend
58,management,married,tertiary,no,2143,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
44,technician,single,secondary,no,29,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
33,entrepreneur,married,secondary,no,2,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
47,blue-collar,married,secondary,no,1506,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
33,services,single,tertiary,no,1,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
35,management,married,tertiary,no,231,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
28,management,single,tertiary,no,447,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
42,entrepreneur,divorced,tertiary,yes,2,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
58,retired,married,primary,no,121,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
43,technician,single,secondary,no,593,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
41,admin.,divorced,secondary,no,270,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
29,admin.,single,secondary,no,390,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
53,technician,married,secondary,no,6,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
58,technician,married,tertiary,no,71,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
57,services,married,secondary,no,162,yes,no,telephone,5,5,0,-1,0,unknown,0,0,False
51,retired,married,primary,no,229,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
45,admin.,single,secondary,no,13,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
57,blue-collar,married,primary,no,52,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
60,retired,married,primary,no,60,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
33,services,married,secondary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
28,blue-collar,married,secondary,no,723,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
56,management,married,tertiary,no,779,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
32,blue-collar,single,primary,no,23,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
25,services,married,secondary,no,50,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
40,retired,married,primary,no,0,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
44,admin.,married,secondary,no,-372,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
39,management,single,tertiary,no,255,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
52,entrepreneur,married,secondary,no,113,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
46,management,single,secondary,no,-246,yes,no,telephone,5,5,1,-1,0,unknown,0,0,False
36,technician,single,secondary,no,265,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
57,technician,married,secondary,no,839,no,yes,cellular,5,5,0,-1,0,unknown,0,0,False
49,management,married,tertiary,no,378,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
60,admin.,married,secondary,no,39,yes,yes,cellular,5,5,0,-1,0,unknown,0,0,False
59,blue-collar,married,secondary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
57,technician,divorced,secondary,no,63,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
25,blue-collar,married,secondary,no,-7,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
53,technician,married,secondary,no,-3,no,no,cellular,5,5,0,-1,0,unknown,0,0,False
36,admin.,divorced,secondary,no,506,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
37,admin.,single,secondary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
44,services,divorced,secondary,no,2586,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
50,management,married,secondary,no,49,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
60,blue-collar,married,tertiary,no,104,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
54,retired,married,secondary,no,529,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
58,retired,married,secondary,no,96,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
36,admin.,single,primary,no,-171,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
58,self-employed,married,tertiary,no,-364,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
44,technician,married,secondary,no,0,yes,no,cellular,5,5,1,-1,0,unknown,0,0,False
55,technician,divorced,secondary,no,0,no,no,telephone,5,5,0,-1,0,unknown,0,0,False
29,management,single,tertiary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
54,blue-collar,married,secondary,no,1291,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
48,management,divorced,tertiary,no,-244,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
32,management,married,tertiary,no,0,yes,no,cellular,5,5,0,-1,0,unknown,0,0,False
